text,ids
"Home > Products > Polymers > Acrylonitrile Butadiene Styrene (ABS) CYCOLAC™ Resin - Acrylonitrile-butadiene-styrene (ABS) thermoplastic resin is widely recognized as a tailorable engineering material offering outstanding aesthetics, flow, toughness, dimensional stability, excellent colorability, scratch resistance and high temperature resistance. Home > Products > Polymers > Acrylonitrile Styrene Acrylate (ASA) GELOY™ Resin - Improved UV over PC/ABS, excellent processability, higher heat and impact vs. ASA. Home > Products > Specialties > ADDITIVE MANUFACTURING Leveraging SABIC’s resin technologies and process capabilities to develop material solutions for various additive manufacturing processes; including filament production and pellet-fed 3D systems. Showcase - SABIC Solutions for Additive Manufacturing.Leveraging SABIC’s resin technologies and process capabilities to develop material solutions for various additive manufacturing processes; including filament production and pellet-fed 3D systems. Showcase - SAB",chunk_0
" - SABIC Solutions for Additive Manufacturing.Leveraging SABIC’s resin technologies and process capabilities to develop material solutions for various additive manufacturing processes; including filament production and pellet-fed 3D systems. Showcase - SABIC Solutions for Additive Manufacturing.English, Published 10/17/2017 Home > Products >Specialties > ADDITIVES Specialty building blocks and reactive additives that impart unique balances of properties in thermoset systems. Offerings include functional NORYL™ oligomers, specialty dianhydrides, unique monomers, and thermoplastics in forms suitable for thermoset formulation. Potential application areas include electronics, electrical, composites, and adhesives.English, Published 6/8/2023English, Published 6/3/2023English, Published 2/3/2023 Home > Products > Agri-Nutrients SABIC is a global leader in the fertilizers industry. It supplies a comprehensive portfolio of nitrogen-based inorganic products, helping solve the world’s food supply challenges, with a leading position in Middle East, Far East, Africa, and Americas. Home > Products > Chemicals > Aromatics Aromatics are liquid in nature. They can be used in the production of styrene homopolymers and copolymers for end applications such as dairy products, packagi",chunk_1
" position in Middle East, Far East, Africa, and Americas. Home > Products > Chemicals > Aromatics Aromatics are liquid in nature. They can be used in the production of styrene homopolymers and copolymers for end applications such as dairy products, packaging materials and sheets. They can also be used in the production of BPA, methyl methacrylate (MMA) and chloroform intermediate. Home > Products > Chemicals > Butyl Glycol Ether Butyl Glycol Ethers (BGE) are liquid in nature. They can be used in solvent-based coatings, industrial water-based coatings, architectural water-borne coatings, household and industrial cleaners, rust removers, hard surface cleaners, disinfectants and solvent-based silk screen printing inks. Home >Products > Specialties > CAPACITOR FILMS Dielectric films for film-foil and metalized electrode professional grade capacitors exhibit stable properties through a range of temperatures (-40 °C to +150 °C) and frequency, including stable capacitance, good insulation resistance, stable dielectric constant (Dk) and low dissipation factor (Df).English, Published 1/30/2024English, Published 6/8/2023English, Published 6/3/2023English, Published 4/23/2021English, Published 2/27/2018 Home > Products > Polymers > Carbon Black Hard particle furnace grades r",chunk_2
"onstant (Dk) and low dissipation factor (Df).English, Published 1/30/2024English, Published 6/8/2023English, Published 6/3/2023English, Published 4/23/2021English, Published 2/27/2018 Home > Products > Polymers > Carbon Black Hard particle furnace grades reinforcing carbon black used for a range of applications in rubber industry. Home > Products > Chemicals > Chlor-Alkali Chlor Alkali products are liquid in nature. They can be used as organic solvents, in the production of PVC, soaps and detergents. They can also be used in acid neutralization, bleaching in papermaking and cotton processing, and petroleum refining. Home > Products > Chemicals > Ethanolamines Ethanolamines are liquid in nature. They can be used in the production of ethylene diamine, taurin, dyestuffs, 2-mercaptothiazol & phenyl, morpholine and glyphosate., in gas sweetening and as concrete additives. Home> Products > Chemicals > Ethoxylates Ethoxylates are liquid in nature and can be used as a raw material in the production of lauryl ether sulphates for shampoo, shower gels, liquid soaps, dishwashing liquids and liquid detergents, homecare items, textiles, leather, industrial & institutional cleaning products, paints and coatings, pharmaceuticals, printing and inks, cosmetics and crop protection.E",chunk_3
"tes for shampoo, shower gels, liquid soaps, dishwashing liquids and liquid detergents, homecare items, textiles, leather, industrial & institutional cleaning products, paints and coatings, pharmaceuticals, printing and inks, cosmetics and crop protection.English, Published 4/19/2018 Home > Products > Chemicals > Ethyleneamines Ethyleneamines are liquid in nature. They can be used in the production of bleach activator, chelating agents, corrosion inhibitors, elastomeric fibersfungicides, fuel additives, mineral processing aids, pharmaceutical intermediate, asphalt additives, fabric softeners, epoxy curing agents, surfactants and textile additives. Home > Products > Polymers > Ethylene-Vinyl Acetate (EVA) Ethylene Vinyl Acetate (EVA) is a copolymer resin that is used for its lightweight and excellent foamability performance. The material is used in the footwear, sports, and leisure applications. The material also is used as a sealant solution in packaging due to its flexibility and low temperature resistance. Home > Products > Metals >Flat Product SABIC offers a broad range of hot rolled and cold rolled flat products in the form of both Coils and Slit Coils. Home > Products > Chemicals > Gases Gases product family Home > Products > Chemicals > GLYCOLS Glycols are li",chunk_4
"> Products > Metals >Flat Product SABIC offers a broad range of hot rolled and cold rolled flat products in the form of both Coils and Slit Coils. Home > Products > Chemicals > Gases Gases product family Home > Products > Chemicals > GLYCOLS Glycols are liquid in nature. They can be used in the production of PET, antifreeze solution, brake fluid, coolant and in the dehydration of gases.English, Published 5/1/2023 Home > Products > Polymers > LEXAN™ FILMS Home > Products > Polymers > LEXAN™ SHEETS Home > Products> Chemicals > Linear Alpha Olefins LAO are liquid in nature. They can be used as polyethylene comonomers, in plasticizer alcohols, polyalpha olefin, surfactants, alkylphenols, linear alkylbenzene and heavy alkyl benzene. Home > Products > Specialties > LNP™ COMPOUNDS AND PC COPOLYMER RESINS Cutting edge engineering applications may require thermoplastic components with enhanced properties. Through our advanced compounding capabilities and unique copolymer resin technologies, we can support customers to expand their possibilities. High temperature resistant resins and compounds are also available under ULTEM™ Resin Family of High Heat Solutions and NORYL™ Resins families. High temperature resistant resins and compounds are also available under ULTEM™ Resin F",chunk_5
"and their possibilities. High temperature resistant resins and compounds are also available under ULTEM™ Resin Family of High Heat Solutions and NORYL™ Resins families. High temperature resistant resins and compounds are also available under ULTEM™ Resin Family of High Heat Solutions and NORYL™ Resins families. English, Published 1/25/2024English, Published 1/25/2024English, Published 1/25/2024English, Published 1/25/2024English, Published 1/25/2024 Home > Products > Metals > Long Products SABIC offers a broad range of Long products in the form of concrete reinforcing bars (rebars), wire rod coils, light sections, and steel billets.English, Published 12/1/2017 Home > Products > Polymers > Metallocene Polyethylene (mPE)Home > Products > Chemicals > Natural Detergent Alcohol Natural Detergent Alcohol product familyEnglish, Published 4/7/2020 Home > Products > Specialties > NORYL™ RESINS The NORYL resin family consists of SABIC’s polyphenylene ether (PPE) blended with: HIPS, PP, PA, or TPE, select additives and fillers. These resins exhibit a broad range of properties for application in water management, automotive, electrical, solar, energy storage, b&c, appliances and more. High temperature resistant resins and compounds are also available under LNP™ Compounds and ",chunk_6
"ers. These resins exhibit a broad range of properties for application in water management, automotive, electrical, solar, energy storage, b&c, appliances and more. High temperature resistant resins and compounds are also available under LNP™ Compounds and PC Copolymer Resins and ULTEM™ Resin Family of High Heat Solutions families. High temperature resistant resins and compounds are also available under LNP™ Compounds and PC Copolymer Resins and ULTEM™ Resin Family of High Heat Solutions families.English, Published 1/25/2024English, Published 1/23/2024English, Published 12/5/2023English, Published 7/14/2023English, Published 6/16/2023 Home > Products > Chemicals > Olefins & Gases Olefins & Gases product family. Olefins are liquid in nature. They can be used in the production of polyethylene, ethylene dichloride, ethanol, styrene, glycols, acrylonitrile, propylene glycols, cumene, butyraldehydes, acrolein and synthetic rubberEnglish, Published 8/20/2018 Home > Products > Chemicals> OXO Alcohols & Performance Monomers Oxo Alcohols are liquid in nature. They can be used in the production of plasticizers (DOP, TOTM and DOTP), in paints and coatings and the production of nutyl acrylate, butyl acetate and butyl glycols ethers. They can also be used in acrylic sheets, mol",chunk_7
"rs Oxo Alcohols are liquid in nature. They can be used in the production of plasticizers (DOP, TOTM and DOTP), in paints and coatings and the production of nutyl acrylate, butyl acetate and butyl glycols ethers. They can also be used in acrylic sheets, molding compounds, surface coatings, impact modifiers, shoe sole sealings and in B&C applications such as flooring, cables and wires, cladding, roof membranes, PVC pipes and flooring and hoses. Home > Products > Chemicals > OXYGENATES Oxygenates are liquid in nature. They can be used in the production of formaldehyde, to produce acetic acid, fuels, solvents and methyl derivatives. In addition they can be used as a gasoline blending component to boost its octane number. Home > Products > Polymers > POLYAMIDE (PA6) Polyamide, a semi crystalline material offers a good toughness & barrier properties in flexible packaging applications. It also exhibits superior mechanical strength and stiffness, good friction and wear properties which are important for engineering applicationsEnglish, Published 6/20/2022 Home > Products > Polymers > Polybutylene Terephthalate (PBT) VALOX™ Resin - Dimensional stability, low warpage, weatherable, excellent chemical resistance and high quality surface finish & gloss. Home> Products > Polyme",chunk_8
"cationsEnglish, Published 6/20/2022 Home > Products > Polymers > Polybutylene Terephthalate (PBT) VALOX™ Resin - Dimensional stability, low warpage, weatherable, excellent chemical resistance and high quality surface finish & gloss. Home> Products > Polymers > Polycarbonate (PC) Polycarbonate, an amorphous polymer, offers a unique combination of toughness with exceptional impact strength. It also exhibits high optical clarity, excellent creep, and high temperature resistance.English, Published 9/27/2022English, Published 5/13/2021English, Published 7/2/2019English, Published 6/29/2018 Home > Products > Polymers > Polycarbonate (PC)-Acrylonitrile Butadiene Styrene (ABS) CYCOLOY polycarbonate/acrylonitrile-butadiene-styrene (PC/ABS) high impact amorphous thermoplastic blends combine ease of processing with low-temperature ductility. With excellent impact resistance, heat resistance, and outstanding aesthetics. CYCOLOY resin blends provide an excellent design solution when both appearance and durability are important. Home > Products > Polymers > Polycarbonate (PC)-Polybutylene Terephthalate (PBT) XENOY™ Resin - Long-term durability, high impact strength, chemical resistance, good surface appearance, low shrinkage, easy processing. Home > Products > Polymers > Polyet",chunk_9
